match_id,time_ms,ball_sn,x,y,score
26,4774620,0,988,194,0.9928593635559082
26,4774620,0,995,195,0.07633516937494278
26,4774620,0,983,192,0.05087670311331749
26,4774700,0,924,257,0.9830406308174133
26,4774700,0,930,256,0.5192891955375671
26,4774740,0,897,292,0.9892823696136475
26,4774740,0,892,292,0.11305595934391022
26,4774780,0,866,330,0.9688905477523804
26,4774780,0,861,328,0.05846866965293884
26,4774820,0,837,371,0.9890210032463074
26,4774820,0,832,372,0.05317147076129913
26,4774860,0,804,416,0.9801813960075378
26,4774900,0,773,461,0.9913523197174072
26,4774900,0,779,460,0.10814002901315689
26,4774940,0,745,511,0.9864251613616943
26,4774940,0,740,513,0.40602076053619385
26,4774980,0,714,565,0.9882543087005615
26,4774980,0,710,566,0.6514905691146851
26,4775020,0,683,618,0.9889766573905945
26,4775060,0,658,615,0.992472767829895
26,4775060,0,333,893,0.06263984739780426
26,4775100,0,632,614,0.9893488883972168
26,4775100,0,637,613,0.09364622831344604
26,4775100,0,328,893,0.055357009172439575
26,4775140,0,609,615,0.9883332848548889
26,4775140,0,604,615,0.9092026948928833
26,4775180,0,580,619,0.965334951877594
26,4775180,0,586,618,0.17892713844776154
26,4775180,0,576,623,0.12541688978672028
26,4775220,0,554,625,0.9789974093437195
26,4775220,0,560,625,0.19566333293914795
26,4775220,0,326,893,0.10264600068330765
26,4775220,0,334,892,0.06704740226268768
26,4775260,0,528,633,0.9880290627479553
26,4775260,0,523,630,0.2341124564409256
26,4775300,0,499,644,0.9909986257553101
26,4775300,0,503,642,0.08838934451341629
26,4775340,0,470,658,0.9943298101425171
26,4775340,0,475,659,0.07069790363311768
26,4775380,0,443,674,0.9890480637550354
26,4775420,0,413,693,0.9902370572090149
26,4775460,0,382,716,0.9317284822463989
26,4775460,0,387,713,0.8355138301849365
26,4775460,0,379,720,0.5005343556404114
26,4775460,0,391,710,0.10454198718070984
26,4775500,0,351,741,0.982923686504364
26,4775500,0,357,739,0.26035448908805847
26,4775540,0,322,769,0.9931360483169556
26,4775580,0,287,802,0.9958183169364929
26,4775580,0,292,801,0.16955530643463135
26,4775620,0,365,735,0.9270912408828735
26,4775620,0,360,737,0.6525511741638184
26,4775620,0,367,740,0.25002074241638184
26,4775620,0,371,733,0.17329925298690796
26,4775620,0,352,737,0.06663277745246887
26,4775660,0,443,662,0.9814272522926331
26,4775660,0,448,661,0.4291914105415344
26,4775660,0,440,665,0.3751092255115509
26,4775700,0,514,600,0.9827415347099304
26,4775700,0,519,601,0.09078537672758102
26,4775740,0,577,548,0.9805499911308289
26,4775740,0,582,547,0.2552662789821625
26,4775740,0,573,550,0.24337878823280334
26,4775780,0,633,502,0.986192524433136
26,4775780,0,628,501,0.23869913816452026
26,4775780,0,637,503,0.1905437856912613
26,4775820,0,684,464,0.9879248142242432
26,4775820,0,680,466,0.478251188993454
26,4775860,0,727,430,0.9895171523094177
26,4775860,0,732,431,0.26641619205474854
26,4775900,0,767,402,0.9911748170852661
26,4775900,0,773,401,0.06594150513410568
26,4775940,0,803,377,0.9934625625610352
26,4775940,0,809,377,0.13229472935199738
26,4775980,0,839,357,0.9942126870155334
26,4776020,0,870,339,0.9881018400192261
26,4776020,0,864,338,0.12229817360639572
26,4776060,0,897,325,0.9899879097938538
26,4776100,0,920,313,0.9873046278953552
26,4776100,0,926,313,0.4631821811199188
26,4776100,0,1130,622,0.05495496839284897
26,4776140,0,945,304,0.9897449612617493
26,4776180,0,969,296,0.9924134612083435
26,4776180,0,964,296,0.2624308168888092
26,4776220,0,989,291,0.9912001490592957
26,4776220,0,983,291,0.24602460861206055
26,4776260,0,1006,287,0.9917913675308228
26,4776300,0,1023,286,0.995449960231781
26,4776300,0,1018,287,0.05396279692649841
26,4776340,0,1041,286,0.990010678768158
26,4776340,0,1036,285,0.6108980774879456
26,4776380,0,1055,287,0.9942607879638672
26,4776380,0,1049,287,0.6627547740936279
26,4776420,0,1068,288,0.9915619492530823
26,4776420,0,1062,290,0.07418065518140793
26,4776460,0,1079,291,0.969780683517456
26,4776460,0,1074,291,0.2980719208717346
26,4776460,0,1085,290,0.14775514602661133
26,4776500,0,1092,297,0.9898977279663086
26,4776500,0,1088,299,0.34785524010658264
26,4776500,0,1098,296,0.12294448167085648
26,4776540,0,1103,302,0.9650139808654785
26,4776540,0,1106,299,0.21947842836380005
26,4776580,0,1114,309,0.9453167915344238
